URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/null?&exclusive=filemgr.download&file_id=551819&rtcontentdisposition=filename%3DWage%20and%20Hour%20Report%20FINAL.pdf,404,,6/16/17,Not found,Desktop,6/16/17
http://www.law.columbia.edu/center_program/gendersexuality/clinic,404,,2/14/17,Not found,Desktop,7/19/17
http://www.law.columbia.edu/fac/Peter_Rosenblum,404,,7/28/17,Not found,Desktop,7/28/17
http://www.law.columbia.edu/media_inquiries/news_faculty/administrative,404,,1/19/17,Not found,Desktop,6/29/17
http://www.law.columbia.edu/fac/Elizabeth%20Lazzara_Smith,404,,5/16/17,Not found,Desktop,5/16/17
http://www.law.columbia.edu/fac/David%20Paul_Horowitz,404,,1/24/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/null/download?&,404,,7/26/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/fac/Kenneth_Crews,404,,3/24/17,Not found,Desktop,6/13/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/portraits11_22,404,,1/20/17,Not found,Desktop,5/22/17
"http://www.law.columbia.edu/fac/Paul_Appelbaum,%20M.D.",404,,1/22/17,Not found,Desktop,7/5/17
http://www.law.columbia.edu/fac/R.%20Martin_Witt,404,,1/24/17,Not found,Desktop,5/26/17
http://www.law.columbia.edu/fac/O.%20Thomas_Johnson,404,,1/22/17,Not found,Desktop,6/27/17
http://www.law.columbia.edu/fac/Delphine_Nougayr%C3%A8de,404,,1/19/17,Not found,Desktop,6/21/17
http://www.law.columbia.edu/llm_intro/grad_studies/courses/CLINIC,404,,1/20/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/llm_intro/grad_studies/courses/The_Upper_Class,404,,1/19/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/careers/clerkships,404,,6/23/17,Not found,Desktop,7/13/17
http://www.law.columbia.edu/fac/Kenneth_Kettering,404,,1/19/17,Not found,Desktop,6/28/17
http://www.law.columbia.edu/library/Research_Guides/internat_law/treaty_research,404,,7/2/17,Not found,Desktop,7/2/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=59134,404,,6/18/17,Not found,Desktop,6/18/17
http://www.law.columbia.edu/center_program/law_history/about,404,,1/20/17,Not found,Desktop,6/29/17
http://www.law.columbia.edu/calendar/feeds,404,,1/21/17,Not found,Desktop,5/4/17
http://www.law.columbia.edu/center_program/social_justice,404,,6/5/17,Not found,Desktop,6/29/17
http://www.law.columbia.edu/fac/Sudhir_Krishnaswamy,404,,1/24/17,Not found,Desktop,5/24/17
http://www.law.columbia.edu/center_program/ag/CharitiesProj,404,,5/30/17,Not found,Desktop,5/30/17
http://www.law.columbia.edu/fac/Rifat_Azam,404,,1/31/17,Not found,Desktop,5/27/17
http://www.law.columbia.edu/center,404,,6/24/17,Not found,Desktop,6/24/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/Cardozo%20law%20review.pdf,404,,6/1/17,Not found,Desktop,6/1/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=151457,404,,5/24/17,Not found,Desktop,7/18/17
http://www.law.columbia.edu/conferences/2001/Reports/dewerra.doc,404,,6/7/17,Not found,Desktop,6/7/17
http://www.law.columbia.edu/_rtimages,404,,1/21/17,Not found,Desktop,5/2/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/portraits1_10,404,,6/11/17,Not found,Desktop,6/11/17
http://www.law.columbia.edu/current_student/studentorgs_abc/alphabet_orgs,404,,7/3/17,Not found,Desktop,7/3/17
http://www.law.columbia.edu/fac/James_Nelson,404,,1/21/17,Not found,Desktop,5/18/17
http://www.law.columbia.edu/alumni/address,404,,7/9/17,Not found,Desktop,7/9/17
http://www.law.columbia.edu/law_school/communications/reports/fall2005/facultyforum,404,,1/21/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/library/projects/snapshot,404,,7/25/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/alumni/news/2010/03/denise-cote,404,,5/16/17,Not found,Desktop,7/18/17
http://www.law.columbia.edu/fac/Ethan_Leib,404,,2/4/17,Not found,Desktop,6/28/17
http://www.law.columbia.edu/fac/Margaux_Hall,404,,1/30/17,Not found,Desktop,6/16/17
http://www.law.columbia.edu/fac/Michael_Dorf,404,,6/23/17,Not found,Desktop,6/23/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003,404,,1/21/17,Not found,Desktop,7/23/17
http://www.law.columbia.edu/law_school/communications/reports/winter07,404,,1/25/17,Not found,Desktop,7/28/17
http://www.law.columbia.edu/law_school/communications/reports/fall06,404,,1/21/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/brokensystem2/report.pdf,404,,5/9/17,Not found,Desktop,6/5/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=623364,404,,6/19/17,Not found,Desktop,6/19/17
http://www.law.columbia.edu/focusareas/asianlegal/china,404,,7/26/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/alumni/highlights/alumni_news/2000,404,,5/28/17,Not found,Desktop,5/28/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=54692,404,,6/18/17,Not found,Desktop,6/18/17
http://www.law.columbia.edu/sites/default/files/microsites/attorneys-general/knowles_amending_and_terminating_ces_nh_experience.pdf,404,,5/30/17,Not found,Desktop,7/29/17
http://www.law.columbia.edu/fac/Jason_Parsont,404,,5/25/17,Not found,Desktop,7/3/17
http://www.law.columbia.edu/fac/Olivier_De%20Schutter,404,,7/7/17,Not found,Desktop,7/7/17
http://www.law.columbia.edu/instructionalservices/liebman,404,,6/28/17,Not found,Desktop,6/28/17
http://www.law.columbia.edu/fac/Claudia_Haupt,404,,3/6/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/ipimages/Gender%20and%20Sexuality/Otto%20-%20AFLJ%20Power%20and%20Danger.pdf,404,,1/24/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/media_inquiries/news/2002/broken_system,404,,7/16/17,Not found,Desktop,7/16/17
http://www.law.columbia.edu/law_school/communications/reports/fall06/IP_Alumni,404,,1/21/17,Not found,Desktop,7/12/17
http://www.law.columbia.edu/rss/news,404,,3/2/17,Not found,Desktop,6/27/17
http://www.law.columbia.edu/law_school/communications/reports/Fall2002/brief2,404,,5/22/17,Not found,Desktop,7/4/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=611087,404,,1/22/17,Not found,Desktop,6/12/17
http://www.law.columbia.edu/fac/Brigitte_Haar,404,,7/11/17,Not found,Desktop,7/11/17
http://www.law.columbia.edu/fac/John_Coffee%20Jr,404,,6/10/17,Not found,Desktop,6/10/17
http://www.law.columbia.edu/law_school/communications/reports/Spring2002/next1,404,,6/17/17,Not found,Desktop,7/29/17
